pk_emissions,report_id,location_id,location_name,active,country,bu_rc_id,bu_rc_name,fiscal_year,fiscal_quarter,status,scope,media_type,halo_name,halos_subtype,emission_type,emissions_t,co2_factor,co2e_t,r11e_t,r11_factor,refrigerant,kyoto_gases_remark,halogenated_carbons_remark,source_last_updated,load_date
,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.007298,24587.7626,179.441491,0.0,0.0,,,,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
650f992ea2251eedfd844c4ebe598650,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.026094,279.9904,7.306069,0.0,0.0,,,Annual refrigerant top-up recorded; leak-check performed.,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
321aff01fa4e6ca51ad1dcb321ddcc7c,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,Methane,,,Kyoto Gases,0.70338,27.2133,19.141291,0.0,0.0,,,,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.333509,0.9726,4.214771,0.0,0.0,,,,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,Halogenated Carbons,R134a (CH2FCF3),HFC,Halogenated Carbons,0.078163,1403.36,109.690828,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
800f9b0e628c5914d1aef608d2a22e81,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Scope 1,Halogenated Carbons,R404A,HFC,Halogenated Carbons,0.168157,3877.85,652.087622,0.0,0.0,True,,Annual refrigerant top-up recorded; leak-check performed.,2021-11-06 00:00:00.000,2026-07-10 08:00:00.000
2f8ee5c7d445ac7f90bf04cbae77e56c,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,SF6 (emitted amount = eM),,,Kyoto Gases,0.005616,24718.3357,138.818173,0.0,0.0,,,,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
a521d0ffb7c5eefdcd200f7cfc5453ef,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,Nitrous Oxide (N2O),,,Kyoto Gases,0.024007,275.7584,6.620132,0.0,0.0,,,,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
01300147ba671b3b35e400b26c2f4209,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,Methane,NO HALO,,Kyoto Gases,0.602765,26.2399,15.816493,0.0,0.0,,,,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
429f4053bc9fd299fec8fed5ebb44138,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Scope 1,Technical Carbon Dioxide,,,Kyoto Gases,4.090131,0.9876,4.039413,0.0,0.0,,,,2022-01-30 00:00:00.000,2026-07-10 08:00:00.000
