pk_energy,report_id,location_id,location_name,active,country,bu_rc_id,bu_rc_name,fiscal_year,fiscal_quarter,scope,status,media_type,halo_name,amount_consumed_mwh,emissions_t,co2_factor,co2e_t,source_last_updated,load_date
ca98b66278b60e6141de036cd3cdab59,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Scope 2,Approved,Electricity,,2760.42,,0.3759,1037.6419,2021-11-01 00:00:00,2026-07-10 08:00:00.000
824fa35e9e93453a61a73c515ae8117a,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Scope 1,In Work,Natural Gas,,1260.041,,0.2009,253.1422,2021-11-01 00:00:00,2026-07-10 08:00:00.000
4820d454c5441cc00e18b6f9a910d075,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Scope 2,Approved,District Cooling,,160.829,,0.099,15.9221,2021-11-01 00:00:00,2026-07-10 08:00:00.000
424425c3f9d8816b49b40da3c512911d,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Scope 2,Approved,District Heating,,355.614,,0.1729,61.4857,2021-11-01 00:00:00,2026-07-10 08:00:00.000
6ba59267efc602a132ebb54723ff173d,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Scope 2,Approved,Electricity,,2050.083,,0.3884,796.2522,2022-02-01 00:00:00,2026-07-10 08:00:00.000
70424d4907d740b6b03f711f2f8bf5f5,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Scope 1,In Work,Natural Gas,,869.74,,0.1869,162.5544,2022-02-01 00:00:00,2026-07-10 08:00:00.000
bfc920ff7764fc4bb9a2f98b726b7237,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Scope 2,Approved,District Cooling,,114.008,,0.0965,11.0018,2022-02-01 00:00:00,2026-07-10 08:00:00.000
0818a02598f7f4505c43defdfb5f3f49,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Scope 2,Approved,District Heating,,247.527,,0.1719,42.5499,2022-02-01 00:00:00,2026-07-10 08:00:00.000
3982eb74907d25d2ded9142963f48894,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Scope 2,Approved,Electricity,,1890.687,,0.3816,721.4862,2022-05-01 00:00:00,2026-07-10 08:00:00.000
085e1c954c99c564bd695fafccc5a793,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Scope 1,Approved,Natural Gas,,857.277,,0.1979,169.6551,2022-05-01 00:00:00,2026-07-10 08:00:00.000
