report_id,location_id,location_name,active,country,bu_rc_id,bu_rc_name,fiscal_year,fiscal_quarter,status,currency,env_installation_id,name,number_installations,impact_environment,relevance,legal_norm,remark,env_installations_remark,source_last_updated,load_date
3000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Y,Approved,EUR,8562.0,,,Air polluting installations,Notifiable,4. BImSchV,,,2022-03-09 00:00:00.000,2026-07-10 08:00:00.000
3000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Y,Approved,EUR,8563.0,Fuel burning boiler,2.0,Air polluting installations,Subject to authorization,BImSchV,Documentation updated following last audit.,,2022-03-09 00:00:00.000,2026-07-10 08:00:00.000
3000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Y,Approved,EUR,8564.0,Air compressor,1.0,Air polluting installations,Environmental relevant,BImSchV,Annual review: installation within permitted limits.,,2022-03-09 00:00:00.000,2026-07-10 08:00:00.000
3001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Y,Approved,EUR,8565.0,,,Air polluting installations,Notifiable,4. BImSchV,Routine inspection completed; no non-conformities found.,,2023-07-15 00:00:00.000,2026-07-10 08:00:00.000
3001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Y,Approved,EUR,8566.0,Fuel burning boiler,3.0,Air polluting installations,Subject to authorization,,,,,2026-07-10 08:00:00.000
3001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Y,Approved,EUR,8567.0,Air compressor,1.0,Air polluting installations,Environmental relevant,BImSchV,Annual review: installation within permitted limits.,,2023-07-15 00:00:00.000,2026-07-10 08:00:00.000
3002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Y,Approved,EUR,8568.0,Diesel generator,1.0,Air polluting installations,Notifiable,,,,2024-04-17 00:00:00.000,2026-07-10 08:00:00.000
3002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Y,Approved,EUR,8569.0,Fuel burning boiler,4.0,Air polluting installations,Subject to authorization,BImSchV,,,2024-04-17 00:00:00.000,2026-07-10 08:00:00.000
3002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Y,Approved,EUR,8570.0,Air compressor,1.0,Air polluting installations,Environmental relevant,,,,2024-04-17 00:00:00.000,2026-07-10 08:00:00.000
3003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Y,Approved,EUR,8571.0,Diesel generator,2.0,Air polluting installations,Notifiable,,,,2025-04-15 00:00:00.000,2026-07-10 08:00:00.000
3003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2025,Y,Approved,EUR,8572.0,Fuel burning boiler,1.0,Air polluting installations,Subject to authorization,,,,2025-04-15 00:00:00.000,2026-07-10 08:00:00.000
