country_code,cdp_region,country_name
AT,Europe,Austria
AU,Asia Australia,Australia
BE,Europe,Belgium
BR,Americas,Brazil
CA,Americas,Canada
CH,Europe,Switzerland
CN,Asia Australia,China
CZ,Europe,Czech Republic
DE,Europe,Germany
DK,Europe,Denmark
ES,Europe,Spain
FI,Europe,Finland
FR,Europe,France
GB,Europe,United Kingdom
HU,Europe,Hungary
IN,Asia Australia,India
IT,Europe,Italy
NL,Europe,Netherlands
NO,Europe,Norway
PL,Europe,Poland
PT,Europe,Portugal
RO,Europe,Romania
SE,Europe,Sweden
SG,Asia Australia,Singapore
TR,Europe,Turkey
US,Americas,United States
ZA,Africa,South Africa
